"","mat","pval"
"1","M_PL_001.csv",0.000999000999000999
"2","M_PL_002.csv",0.000999000999000999
"3","M_PL_003.csv",0.000999000999000999
"4","M_PL_004.csv",0.85014985014985
"5","M_PL_005.csv",0.000999000999000999
"6","M_PL_006.csv",0.000999000999000999
"7","M_PL_007.csv",0.79020979020979
"8","M_PL_008.csv",0.000999000999000999
"9","M_PL_009.csv",0.892107892107892
"10","M_PL_010.csv",0.0819180819180819
"11","M_PL_011.csv",1
"12","M_PL_012.csv",0.00699300699300699
"13","M_PL_013.csv",0.767232767232767
"14","M_PL_014.csv",0.131868131868132
"15","M_PL_015.csv",0.000999000999000999
"16","M_PL_016.csv",0.000999000999000999
"17","M_PL_017.csv",0.0729270729270729
"18","M_PL_018.csv",0.563436563436563
"19","M_PL_019.csv",0.817182817182817
"20","M_PL_020.csv",0.000999000999000999
"21","M_PL_021.csv",0.000999000999000999
"22","M_PL_022.csv",0.000999000999000999
"23","M_PL_023.csv",0.020979020979021
"24","M_PL_024.csv",0.001998001998002
"25","M_PL_025.csv",0.0769230769230769
"26","M_PL_026.csv",0.00899100899100899
"27","M_PL_027.csv",0.891108891108891
"28","M_PL_028.csv",0.001998001998002
"29","M_PL_029.csv",0.133866133866134
"30","M_PL_030.csv",0.0579420579420579
"31","M_PL_031.csv",0.892107892107892
"32","M_PL_032.csv",0.001998001998002
"33","M_PL_033.csv",0.00699300699300699
"34","M_PL_034.csv",0.000999000999000999
"35","M_PL_035.csv",0.833166833166833
"36","M_PL_036.csv",0.002997002997003
"37","M_PL_037.csv",0.462537462537463
"38","M_PL_038.csv",0.49050949050949
"39","M_PL_039.csv",0.000999000999000999
"40","M_PL_040.csv",0.606393606393606
"41","M_PL_041.csv",0.803196803196803
"42","M_PL_042.csv",0.607392607392607
"43","M_PL_043.csv",0.76023976023976
"44","M_PL_045.csv",0.541458541458541
"45","M_PL_046.csv",0.665334665334665
"46","M_PL_047.csv",0.240759240759241
"47","M_PL_048.csv",0.0929070929070929
"48","M_PL_049.csv",0.000999000999000999
"49","M_PL_050.csv",0.652347652347652
"50","M_PL_051.csv",0.99000999000999
"51","M_PL_052.csv",0.114885114885115
"52","M_PL_053.csv",0.000999000999000999
"53","M_PL_058.csv",0.000999000999000999
"54","M_PL_059.csv",0.0599400599400599
